index,category_name,category_name_cn,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
235,Bathroom Fixtures,卫浴,https://www.lazada.sg/catalog?q=Bathroom+Fixtures&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\064_Bathroom_Fixtures,2026-07-11 18:04:07,2026-07-11 18:11:36,Lazada verification or traffic page detected
236,Bathroom Mirrors,卫浴,https://www.lazada.sg/catalog?q=Bathroom+Mirrors&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\065_Bathroom_Mirrors,2026-07-11 18:16:54,2026-07-11 18:17:01,Lazada verification or traffic page detected
237,Bathroom Scales,卫浴,https://www.lazada.sg/catalog?q=Bathroom+Scales&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,168,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\066_Bathroom_Scales,2026-07-11 18:17:18,2026-07-11 18:28:57,
238,Bathroom Shelving,卫浴,https://www.lazada.sg/catalog?q=Bathroom+Shelving&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,254,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\067_Bathroom_Shelving,2026-07-11 18:29:52,2026-07-11 18:43:12,
280,Batteries,Batteries,https://www.lazada.sg/catalog?q=Batteries&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\068_Batteries,2026-07-11 18:43:53,2026-07-11 18:46:25,Lazada verification or traffic page detected
281,BBQ & Outdoor Dining,餐厨用品,https://www.lazada.sg/catalog?q=BBQ+%26+Outdoor+Dining&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,283,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\069_BBQ_&_Outdoor_Dining,2026-07-11 18:52:59,2026-07-11 19:04:45,
239,Beachwear & Accessories,配件,https://www.lazada.sg/catalog?q=Beachwear+%26+Accessories&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,409,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\070_Beachwear_&_Accessories,2026-07-11 19:05:17,2026-07-11 19:17:19,
17,Beauty Supplements,美妆个护,https://www.lazada.sg/catalog?q=Beauty+Supplements&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\071_Beauty_Supplements,2026-07-11 19:18:19,2026-07-11 19:20:36,Lazada verification or traffic page detected
18,Beauty Tools,美妆个护,https://www.lazada.sg/catalog?q=Beauty+Tools&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,182,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\072_Beauty_Tools,2026-07-11 19:46:09,2026-07-11 19:59:13,
282,Bed Sheets,Bed Sheets,https://www.lazada.sg/catalog?q=Bed+Sheets&from=hp_categories&src=all_channel&price=20-,partial,100,40,30,2029,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\073_Bed_Sheets,2026-07-11 19:59:51,2026-07-11 20:14:22,
